NS_SQUID,F_SQUID,NS_Fluxgate,EW_Fluxgate,Z_Fluxgate
128.0233,11.6265,10939.8573,-79.4288,-22665.0912
128.0217,11.6286,10939.8593,-79.4247,-22665.0827
128.018,11.6294,10939.8593,-79.4247,-22665.0827
128.0168,11.636,10939.8527,-79.4019,-22665.0357
128.0152,11.6265,10939.8527,-79.4019,-22665.0357
128.0134,11.6266,10939.8461,-79.401,-22664.9463
128.0137,11.6186,10939.844,-79.406,-22664.9485
128.0097,11.603,10939.844,-79.406,-22664.9485
128.0094,11.6283,10939.8473,-79.4301,-22664.9873
128.0098,11.617,10939.8473,-79.4301,-22664.9873
128.01,11.6417,10939.8365,-79.432,-22665.0328
128.0117,11.6766,10939.8309,-79.4236,-22665.0345
128.0119,11.6919,10939.8309,-79.4236,-22665.0345
128.0129,11.7295,10939.8337,-79.4138,-22665.0932
128.0112,11.7478,10939.8337,-79.4138,-22665.0932
128.0101,11.7555,10939.8477,-79.4431,-22665.118
128.0081,11.7756,10939.8605,-79.4713,-22665.1177
128.0045,11.7772,10939.8605,-79.4713,-22665.1177
128.0027,11.788,10939.8538,-79.5145,-22664.9999
128.0025,11.7833,10939.8538,-79.5145,-22664.9999
128.0013,11.7835,10939.8416,-79.5347,-22664.9549
128.0003,11.7867,10939.8385,-79.5128,-22664.9622
127.9971,11.7736,10939.8385,-79.5128,-22664.9622
127.9977,11.7801,10939.8451,-79.4787,-22664.9323
127.9959,11.7695,10939.8451,-79.4787,-22664.9323
127.9957,11.7675,10939.8456,-79.4712,-22664.9291
127.9953,11.7732,10939.8453,-79.4683,-22664.9081
127.9943,11.7621,10939.8453,-79.4683,-22664.9081
127.9944,11.7614,10939.8341,-79.4567,-22664.9536
127.9935,11.7407,10939.8341,-79.4567,-22664.9536
127.9916,11.7414,10939.834,-79.4309,-22664.9431
127.9906,11.736,10939.8432,-79.3782,-22664.9635
127.9898,11.7115,10939.8432,-79.3782,-22664.9635
127.9911,11.728,10939.8499,-79.322,-22664.9837
127.989,11.7067,10939.8499,-79.322,-22664.9837
127.9891,11.7179,10939.8467,-79.3203,-22664.9782
127.9855,11.7154,10939.8511,-79.3302,-22664.9732
127.9841,11.7092,10939.8511,-79.3302,-22664.9732
127.9834,11.7111,10939.8476,-79.336,-22664.9862
127.9792,11.7014,10939.8476,-79.336,-22664.9862
127.9801,11.705,10939.8514,-79.331,-22664.9921
127.9794,11.6949,10939.8404,-79.2773,-22664.9461
127.9789,11.7029,10939.8404,-79.2773,-22664.9461
127.978,11.6976,10939.8396,-79.2977,-22664.8487
127.9743,11.6737,10939.8326,-79.3195,-22664.8464
127.9763,11.6912,10939.8326,-79.3195,-22664.8464
127.9725,11.677,10939.8237,-79.1615,-22664.8797
127.9715,11.6761,10939.8237,-79.1615,-22664.8797
127.9687,11.6739,10939.8229,-79.1829,-22664.9971
127.9675,11.6749,10939.821,-79.1885,-22665.0045
127.9669,11.6746,10939.821,-79.1885,-22665.0045
127.9627,11.6634,10939.8377,-79.3749,-22665.069
127.963,11.6648,10939.8377,-79.3749,-22665.069
127.9608,11.6481,10939.8494,-79.3786,-22665.0452
127.9607,11.6548,10939.8534,-79.3576,-22665.0596
127.9583,11.6483,10939.8534,-79.3576,-22665.0596
127.9574,11.6428,10939.8526,-79.4254,-22665.0443
127.9542,11.6256,10939.8526,-79.4254,-22665.0443
127.9529,11.6337,10939.8558,-79.4061,-22665.0751
127.9512,11.6359,10939.8588,-79.4049,-22665.0961
127.9496,11.6295,10939.8588,-79.4049,-22665.0961
127.9512,11.6375,10939.8658,-79.4575,-22665.1322
127.9465,11.6364,10939.8658,-79.4575,-22665.1322
127.9437,11.628,10939.8684,-79.5047,-22665.1317
127.9418,11.6353,10939.8671,-79.5326,-22665.1228
127.9388,11.6172,10939.8671,-79.5326,-22665.1228
127.9398,11.6201,10939.8597,-79.4466,-22665.008
127.9385,11.5992,10939.8597,-79.4466,-22665.008
127.9376,11.6032,10939.8529,-79.4008,-22664.9936
127.9382,11.5806,10939.8506,-79.3679,-22664.9502
127.9359,11.5904,10939.8506,-79.3679,-22664.9502
127.9359,11.593,10939.8427,-79.3777,-22665.0041
127.9312,11.5801,10939.8427,-79.3777,-22665.0041
127.9325,11.5942,10939.8461,-79.4187,-22665.0219
127.9295,11.5789,10939.8457,-79.4179,-22665.0785
127.9279,11.5856,10939.8457,-79.4179,-22665.0785
127.9262,11.5708,10939.8766,-79.4145,-22665.1041
127.9218,11.5594,10939.8766,-79.4145,-22665.1041
127.8997,11.4817,10939.8796,-79.3825,-22665.1198
127.8829,11.4118,10939.8819,-79.3315,-22665.0679
127.8744,11.3796,10939.8819,-79.3315,-22665.0679
127.8649,11.3359,10939.8671,-79.2266,-22664.9862
127.8655,11.2981,10939.8671,-79.2266,-22664.9862
127.8561,11.2683,10939.8664,-79.2217,-22664.9865
127.8554,11.244,10939.8456,-79.1869,-22665.1098
127.8515,11.2283,10939.8456,-79.1869,-22665.1098
127.8477,11.2136,10939.8287,-79.228,-22665.2573
127.8469,11.2097,10939.8309,-79.2303,-22665.2557
127.8446,11.1922,10939.8309,-79.2303,-22665.2557
127.8434,11.1902,10939.8315,-79.2717,-22665.3119
127.8398,11.1818,10939.8315,-79.2717,-22665.3119
127.8379,11.1744,10939.8233,-79.2494,-22665.3363
127.8365,11.1681,10939.824,-79.2435,-22665.3576
127.8352,11.1631,10939.824,-79.2435,-22665.3576
127.8337,11.1499,10939.8241,-79.1801,-22665.387
127.8318,11.1525,10939.8241,-79.1801,-22665.387
127.8303,11.1597,10939.8243,-79.1463,-22665.4026
127.8274,11.1485,10939.8191,-79.1474,-22665.362
127.8247,11.1477,10939.8191,-79.1474,-22665.362
127.8225,11.1305,10939.818,-79.1637,-22665.3083
127.8188,11.1288,10939.818,-79.1637,-22665.3083
127.8184,11.1284,10939.8212,-79.1825,-22665.2939
127.8142,11.1194,10939.83,-79.1865,-22665.3279
127.8139,11.123,10939.83,-79.1865,-22665.3279
127.8093,11.1137,10939.8141,-79.297,-22665.3742
127.8062,11.1193,10939.8141,-79.297,-22665.3742
127.804,11.1273,10939.8155,-79.3201,-22665.4219
127.8017,11.1205,10939.8085,-79.3193,-22665.4455
127.7989,11.119,10939.8085,-79.3193,-22665.4455
127.793,11.107,10939.8146,-79.2238,-22665.5
127.7923,11.1279,10939.8146,-79.2238,-22665.5
127.7894,11.1282,10939.8051,-79.251,-22665.5008
127.787,11.1263,10939.7993,-79.315,-22665.4793
127.7849,11.1283,10939.7993,-79.315,-22665.4793
127.7816,11.1198,10939.817,-79.4039,-22665.471
127.781,11.1214,10939.817,-79.4039,-22665.471
127.7761,11.1299,10939.8226,-79.4022,-22665.4611
127.7747,11.1414,10939.8247,-79.3668,-22665.4017
127.7705,11.1345,10939.8247,-79.3668,-22665.4017
127.7702,11.1256,10939.8095,-79.3082,-22665.3712
127.7671,11.1401,10939.8095,-79.3082,-22665.3712
127.7637,11.1361,10939.8125,-79.2955,-22665.383
127.7623,11.1522,10939.8265,-79.1633,-22665.4821
127.7597,11.1398,10939.8265,-79.1633,-22665.4821
127.7581,11.1494,10939.8313,-78.9674,-22665.5413
127.7609,11.1446,10939.8313,-78.9674,-22665.5413
127.7609,11.1471,10939.832,-78.9587,-22665.5366
127.7587,11.1417,10939.8154,-78.7846,-22665.4539
127.7597,11.1365,10939.8154,-78.7846,-22665.4539
127.7595,11.14,10939.8097,-78.6309,-22665.3694
127.7581,11.1283,10939.8097,-78.6309,-22665.3694
127.7589,11.1352,10939.8097,-78.6309,-22665.3694
127.7581,11.1263,10939.8168,-78.6544,-22665.4091
127.7561,11.1146,10939.8168,-78.6544,-22665.4091
127.7545,11.1299,10939.8209,-78.7173,-22665.4351
127.7518,11.1385,10939.8224,-78.7074,-22665.4417
127.7506,11.1531,10939.8224,-78.7074,-22665.4417
127.7481,11.1615,10939.8223,-78.8242,-22665.4589
127.7456,11.1663,10939.8223,-78.8242,-22665.4589
127.7463,11.172,10939.8268,-79.0883,-22665.4303
127.7407,11.1772,10939.8263,-79.1713,-22665.444
127.7382,11.1798,10939.8263,-79.1713,-22665.444
127.7358,11.1761,10939.8333,-79.3136,-22665.3174
127.7336,11.1795,10939.8333,-79.3136,-22665.3174
127.7312,11.1686,10939.8306,-79.2906,-22665.2717
127.7294,11.1745,10939.831,-79.2782,-22665.2324
127.7267,11.1477,10939.831,-79.2782,-22665.2324
127.7254,11.1306,10939.8212,-79.3443,-22665.1952
127.7215,11.1507,10939.8212,-79.3443,-22665.1952
127.7174,11.1689,10939.8184,-79.3666,-22665.1929
127.7155,11.1672,10939.8145,-79.3761,-22665.204
127.7141,11.1662,10939.8145,-79.3761,-22665.204
127.709,11.1597,10939.8027,-79.2963,-22665.2365
127.7066,11.1648,10939.8027,-79.2963,-22665.2365
127.707,11.1545,10939.8005,-79.3007,-22665.2286
127.704,11.164,10939.7851,-79.3021,-22665.2286
127.7017,11.1645,10939.7851,-79.3021,-22665.2286
127.6996,11.1626,10939.7845,-79.3325,-22665.1599
127.6952,11.1466,10939.7845,-79.3325,-22665.1599
127.6959,11.1612,10939.7829,-79.2854,-22665.141
127.695,11.167,10939.7878,-79.1107,-22665.1521
127.6902,11.1624,10939.7878,-79.1107,-22665.1521
127.6881,11.1608,10939.7983,-78.9796,-22665.2051
127.6861,11.1665,10939.7983,-78.9796,-22665.2051
127.6835,11.1656,10939.8044,-78.9943,-22665.2041
127.6814,11.1596,10939.8183,-79.0076,-22665.1498
127.6769,11.1507,10939.8183,-79.0076,-22665.1498
127.6757,11.155,10939.808,-79.0517,-22665.1306
127.6749,11.1509,10939.808,-79.0517,-22665.1306
127.6756,11.1432,10939.8068,-79.0506,-22665.1462
127.6726,11.1427,10939.8112,-79.2649,-22665.2116
127.6695,11.1421,10939.8112,-79.2649,-22665.2116
127.6682,11.145,10939.8317,-79.3913,-22665.3546
127.6742,11.132,10939.8317,-79.3913,-22665.3546
127.6624,11.1453,10939.8316,-79.3917,-22665.3583
127.662,11.1434,10939.8361,-79.3567,-22665.3509
127.6622,11.1392,10939.8361,-79.3567,-22665.3509
127.6591,11.1376,10939.8425,-79.3116,-22665.2978
127.6569,11.1291,10939.8426,-79.3029,-22665.2979
127.6588,11.1326,10939.8426,-79.3029,-22665.2979
127.6563,11.1333,10939.8565,-79.2969,-22665.3935
127.6527,11.1424,10939.8565,-79.2969,-22665.3935
127.6524,11.1458,10939.8608,-79.3171,-22665.4511
127.6492,11.1278,10939.8628,-79.3125,-22665.4888
127.6506,11.1321,10939.8628,-79.3125,-22665.4888
127.6488,11.1455,10939.8314,-79.2964,-22665.4328
127.6486,11.139,10939.8314,-79.2964,-22665.4328
127.647,11.1454,10939.8061,-79.3165,-22665.4314
127.6465,11.1429,10939.7933,-79.332,-22665.3852
127.6461,11.1415,10939.7933,-79.332,-22665.3852
127.6442,11.1408,10939.7848,-79.3326,-22665.3669
127.6425,11.1391,10939.7848,-79.3326,-22665.3669
127.641,11.1395,10939.7857,-79.309,-22665.3715
127.6404,11.1382,10939.7923,-79.302,-22665.3767
127.6397,11.139,10939.7923,-79.302,-22665.3767
127.6387,11.1371,10939.7934,-79.3381,-22665.3958
127.6381,11.1394,10939.7934,-79.3381,-22665.3958
127.6369,11.1381,10939.7874,-79.363,-22665.3436
127.6351,11.1213,10939.7841,-79.3434,-22665.3438
127.6337,11.127,10939.7841,-79.3434,-22665.3438
127.6336,11.1285,10939.797,-79.3398,-22665.3602
127.6319,11.1228,10939.797,-79.3398,-22665.3602
127.6307,11.1236,10939.81,-79.2989,-22665.4003
127.6294,11.118,10939.8169,-79.2881,-22665.4791
127.6285,11.1126,10939.8169,-79.2881,-22665.4791
127.6304,11.0998,10939.816,-79.2062,-22665.5388
127.6299,11.0911,10939.816,-79.2062,-22665.5388
127.6308,11.0702,10939.8134,-79.2117,-22665.5314
127.6333,11.0342,10939.8109,-79.2448,-22665.4647
127.6352,11.0262,10939.8109,-79.2448,-22665.4647
127.6352,11.0259,10939.8069,-79.308,-22665.4223
127.6345,11.0208,10939.8069,-79.308,-22665.4223
127.633,11.0122,10939.8107,-79.3229,-22665.4424
127.6299,11.0124,10939.8131,-79.3292,-22665.4915
127.629,11.0169,10939.8131,-79.3292,-22665.4915
127.629,11.0138,10939.8141,-79.3417,-22665.5568
127.6269,11.0123,10939.8141,-79.3417,-22665.5568
127.6282,11.0128,10939.8138,-79.3456,-22665.5494
127.628,11.0111,10939.8142,-79.3408,-22665.5269
127.6233,11.0145,10939.8142,-79.3408,-22665.5269
127.6241,11.0207,10939.8342,-79.3737,-22665.4877
127.6211,11.0182,10939.8355,-79.3677,-22665.4883
127.6197,11.0259,10939.8355,-79.3677,-22665.4883
127.6199,11.0267,10939.8322,-79.3765,-22665.5935
127.6154,11.0314,10939.8322,-79.3765,-22665.5935
127.611,11.0328,10939.8188,-79.3329,-22665.612
127.6086,11.0259,10939.815,-79.3331,-22665.6031
127.6071,11.0218,10939.815,-79.3331,-22665.6031
127.6044,11.0218,10939.824,-79.2876,-22665.5065
127.6028,11.0184,10939.824,-79.2876,-22665.5065
127.6002,11.017,10939.8236,-79.3254,-22665.5299
127.5986,11.0177,10939.8293,-79.3411,-22665.5275
127.5993,11.0144,10939.8293,-79.3411,-22665.5275
127.5973,11.0021,10939.8239,-79.327,-22665.5477
127.5961,11.0041,10939.8239,-79.327,-22665.5477
127.5978,11.0169,10939.8245,-79.3069,-22665.5163
127.5977,11.015,10939.8159,-79.3316,-22665.5029
127.5974,11.0129,10939.8159,-79.3316,-22665.5029
127.5971,11.0151,10939.8179,-79.3988,-22665.5776
127.5963,11.0198,10939.8179,-79.3988,-22665.5776
127.5969,11.0205,10939.8151,-79.4004,-22665.5916
127.5969,11.0162,10939.8169,-79.4122,-22665.6003
127.5962,11.0148,10939.8169,-79.4122,-22665.6003
127.5959,11.0109,10939.809,-79.4187,-22665.5524
127.5964,11.0082,10939.809,-79.4187,-22665.5524
127.5967,11.0125,10939.8062,-79.4654,-22665.5569
127.5958,11.0131,10939.8126,-79.4568,-22665.6119
127.598,11.0047,10939.8126,-79.4568,-22665.6119
127.5977,10.9914,10939.8186,-79.4574,-22665.5747
127.5964,10.993,10939.8186,-79.4574,-22665.5747
127.5963,10.9807,10939.8186,-79.4137,-22665.5704
127.5968,10.977,10939.8097,-79.4396,-22665.5221
127.597,10.9763,10939.8097,-79.4396,-22665.5221
127.5992,10.9665,10939.8041,-79.4528,-22665.5745
127.6,10.9612,10939.8041,-79.4528,-22665.5745
127.5977,10.9628,10939.8049,-79.4696,-22665.5565
127.5964,10.9512,10939.807,-79.4875,-22665.6213
127.5974,10.9414,10939.807,-79.4875,-22665.6213
127.5958,10.937,10939.8011,-79.4935,-22665.5296
127.598,10.9194,10939.8011,-79.4935,-22665.5296
127.5977,10.9362,10939.8002,-79.494,-22665.531
127.598,10.938,10939.8006,-79.4326,-22665.4777
127.5979,10.945,10939.8006,-79.4326,-22665.4777
127.5984,10.9421,10939.7976,-79.4766,-22665.4871
127.5982,10.9429,10939.7976,-79.4766,-22665.4871
127.595,10.9381,10939.7976,-79.4766,-22665.4871
127.5894,10.9166,10939.8121,-79.4815,-22665.5544
127.5872,10.8811,10939.8121,-79.4815,-22665.5544
127.5822,10.8498,10939.8292,-79.4621,-22665.6735
127.5817,10.826,10939.8281,-79.4711,-22665.6838
127.5812,10.8026,10939.8281,-79.4711,-22665.6838
127.5816,10.7807,10939.8257,-79.5391,-22665.767
127.5819,10.7644,10939.8257,-79.5391,-22665.767
127.5838,10.7458,10939.8262,-79.5492,-22665.7055
127.5847,10.7376,10939.8272,-79.5462,-22665.699
127.5842,10.7337,10939.8272,-79.5462,-22665.699
127.5841,10.72,10939.8198,-79.4704,-22665.6821
127.5848,10.7144,10939.8198,-79.4704,-22665.6821
127.5839,10.6996,10939.8092,-79.4526,-22665.7468
127.584,10.6866,10939.7923,-79.4307,-22665.7623
127.5849,10.7039,10939.7923,-79.4307,-22665.7623
127.5851,10.7093,10939.7873,-79.3488,-22665.7766
127.5855,10.7144,10939.7873,-79.3488,-22665.7766
127.587,10.7167,10939.8035,-79.3159,-22665.7662
127.5883,10.6936,10939.8122,-79.3628,-22665.8225
127.5891,10.7049,10939.8122,-79.3628,-22665.8225
